identifier,de,en
nav_home,Home,Home
nav_portfolio,Talents,Talents
nav_cases,Success Stories,Success Stories
nav_contact,Kontakt,Contact
hero_subtitle,Influencer Management Redefined,Influencer Management Redefined
hero_title_1,Wir bauen Marken durch,We build brands through
hero_title_2,authentische Stimmen.,authentic voices.
hero_description,"Vertical Influence verbindet erstklassige Creator mit visionären Marken. Wir schaffen Kampagnen, die nicht nur gesehen, sondern gefühlt werden.","Vertical Influence connects premium creators with visionary brands. We create campaigns that are not just seen, but felt."
cta_discover,Talente entdecken,Discover Talent
cta_view_cases,Case Studies ansehen,View Case Studies
section_talents_title,Featured Talent,Featured Talent
section_talents_subtitle,Kuratierte Stimmen die bewegen. Lernen Sie unsere Top-Performer kennen.,Curated voices that resonate. Meet some of our top performers.
footer_description,"Premium Influencer Management für Marken, die den Unterschied machen wollen. Data-driven. Authentic. Vertical.","Premium Influencer Management for brands that want to make a difference. Data-driven. Authentic. Vertical."
booking_request,Booking Anfrage,Request Booking
about_title,Über,About
social_profiles,Soziale Profile,Social Profiles
view_media_kit,Mediakit ansehen,View Media Kit
demographics_title,Demografien,Demographics
gender_distribution,Geschlechterverteilung,Gender Distribution
age_groups,Altersgruppen,Age Groups
top_countries,Top Länder,Top Countries
