id,name,handle,niche,category,followers,imageUrl,image_name,bio,platforms,tiktok,instagram,youtube,tiktok_handle,instagram_handle,youtube_handle,gender_male,gender_female,age_data,country_data
1,Affeaufbike,@affeaufbike,Travel / Outdoor,Lifestyle & Health,1.4M,/vi/images/creators/affeaufbike.jpeg,,"Adventurer and author known for her solo motorcycle world tours and authentic storytelling.","TikTok, Instagram, YouTube",652.4K,533K,234K,,,,35%,65%,"18-24:45%, 25-34:35%, 35-44:10%","Germany:85%, Austria:10%, Switzerland:5%"
2,Beac_basti,@beac_basti,Entertainment / Craftsmanship,Handwerk & DIY,1.3M,/vi/images/creators/beac_basti.jpeg,,"Known for humor-filled tutorials, streaming room upgrades, and relatable life hacks.","TikTok, Instagram, YouTube",1.1M,198K,8.4K,,,,70%,30%,"18-24:50%, 25-34:25%, 13-17:15%","Germany:90%, Austria:5%, Switzerland:5%"
3,Benberg.er,@benberg.er,Craftsmanship,Handwerk & DIY,338.8K,/vi/images/creators/benberg_er.jpeg,,"Skilled carpenter and engaging creator blending hands-on woodworking tutorials with candid takes on trade apprenticeships and industry challenges.","TikTok, Instagram, YouTube",138K,177K,23.8K,,,,80%,20%,"25-34:40%, 35-44:25%, 18-24:20%","Germany:95%, Austria:3%, Switzerland:2%"
4,Bens_hardware,@bens_hardware,Tech,Tech,674.8K,/vi/images/creators/bens_hardware.jpeg,,"Tech creator specializing in PC builds, hardware reviews, and gaming setup tutorials with a focus on making tech accessible and engaging.","TikTok, Instagram, YouTube",532.5K,83.6K,58.7K,,,,85%,15%,"18-24:45%, 25-34:30%, 13-17:15%","Germany:88%, Austria:6%, Switzerland:4%"
5,BigBangBash,@bigbangbash,DIY/Experimente,Handwerk & DIY,2.6M,/vi/images/creators/bigbangbash.jpeg,,"Creator known for humorous DIY projects, quirky experiments, and viral gadgets with a strong social media presence.","TikTok, Instagram, YouTube",2M,125K,510K,,,,60%,40%,"18-24:40%, 13-17:30%, 25-34:20%","Germany:80%, USA:10%, UK:5%"
6,Bruderholz,@bruderholz,Craftsmanship,Handwerk & DIY,15K,/vi/images/creators/bruderholz.png,,"Laurin and Yannes Bock, creative woodworking duo crafting unique, handcrafted cutting boards with a focus on sustainability and quality materials.",Instagram,,15K,,,,,55%,45%,"25-34:50%, 35-44:25%, 45+:15%","Germany:98%, Austria:1%, Switzerland:1%"
7,Claudelle.loves ,@claudelle.loves,Lifestyle / Health,Lifestyle & Health,213K,/vi/images/creators/claudelle_loves.jpeg,,"Actress and wellness creator sharing insights on healthy living, self-care, and personal growth.",Instagram,,213K,,,,,10%,90%,"35-44:40%, 25-34:35%, 45+:20%","Germany:92%, Austria:4%, Switzerland:4%"
8,Dachdeckerin Sina,@dachdeckerinsina,Craftsmanship,Handwerk & DIY,103.6K,/vi/images/creators/dachdeckerin_sina.png,,"Roofer sharing insights into her trade journey, aiming to inspire young people, especially women, to pursue careers in the trades.","TikTok, Instagram",34.2K,69.4K,,,,,40%,60%,"18-24:45%, 25-34:30%, 13-17:10%","Germany:96%, Austria:2%, Switzerland:2%"
9,Der moebelbock,@dermoebelbock,Craftsmanship,Handwerk & DIY,37.4K,/vi/images/creators/der_moebelbock.jpeg,,"Carpenter and creator focusing on creative woodworking projects; co-founder of BruderHolz with his brother Laurin Bock.","TikTok, Instagram",5K,32.4K,,,,,75%,25%,"25-34:45%, 35-44:30%, 18-24:15%","Germany:97%, Austria:2%, Switzerland:1%"
10,Der.Holzbock,@der.holzbock,Craftsmanship,Handwerk & DIY,603K,/vi/images/creators/der_holzbock.jpeg,,"Laurin Bock, known as @derholzbock.official, is a master carpenter and creator who shares practical woodworking tips and promotes craftsmanship. He co-founded BruderHolz with his brother Yannes, focusing on handcrafted wooden products.","TikTok, Instagram, YouTube",144K,325K,134K,,,,82%,18%,"25-34:40%, 35-44:30%, 18-24:15%","Germany:94%, Austria:3%, Switzerland:3%"
11,Jenni vom Dach,@jennivomdach,Craftsmanship,Handwerk & DIY,116K,/vi/images/creators/jenni_vom_dach.jpeg,,"German master roofer and creator from Munich. She shares authentic insights into her profession, highlighting the craftsmanship and artistry involved in roofing. Her content resonates with a wide audience, showcasing the intricate details of her work and the skills required. ",Instagram,,116K,,,,,45%,55%,"25-34:45%, 18-24:25%, 35-44:20%","Germany:95%, Austria:3%, Switzerland:2%"
12,Nikolaj.lu,@nikolaj.lu,Entertainment / Comedy,Entertainment,1.8M,/vi/images/creators/nikolaj_lu.jpeg,,"Creator who humorously contrasts rural and urban life. With over 1.1 million followers on TikTok and 256,000 on Instagram, he shares relatable skits about village life, driving lessons, and family dynamics. His content blends observational humor with everyday experiences, resonating with a wide audience.","TikTok, Instagram, YouTube",1.1M,263K,443K,,,,65%,35%,"18-24:55%, 13-17:20%, 25-34:15%","Germany:92%, Austria:5%, Switzerland:3%"
13,Schreinerin Mara,@schreinerinmara,Craftsmanship,Handwerk & DIY,35.1K,/vi/images/creators/schreinerin_mara.jpeg,,"German carpenter and DIY creator known for transforming old buildings into dream spaces; advocates for women in trades and co-hosts the ""Baustellen-Beichten"" podcast.","TikTok, Instagram",8.9K,26.2K,,,,,30%,70%,"25-34:40%, 18-24:35%, 35-44:15%","Germany:94%, Austria:3%, Switzerland:3%"
14,Tischlerimkopf,@tischlerimkopf,Craftsmanship,Handwerk & DIY,64.7K,/vi/images/creators/tischlerimkopf.png,,"Master carpenter who shares practical woodworking tutorials and insights into the craft. Active on TikTok, Instagram, and YouTube, he offers tips on tools, techniques, and the realities of the trade, aiming to inspire both professionals and DIY enthusiasts.","Instagram, YouTube",,47.8K,16.9K,,,,78%,22%,"25-34:50%, 35-44:20%, 18-24:15%","Germany:96%, Austria:2%, Switzerland:2%"
15,Der Landwerker,@derlandwerker,Craftsmanship,Handwerk & DIY,59.5K,/vi/images/creators/der_landwerker.png,,Instagram,,59.5K,,,,,85%,15%,"25-34:45%, 35-44:35%, 45+:10%","Germany:98%, Austria:1%, Switzerland:1%"
16,Alaeddin68,@alaeddin68,Entertainment / Comedy,Entertainment,1.4M,/vi/images/creators/alaeddin68.jpeg,,"Comedy creator known for his humorous TikToks and Instagram content, sharing relatable life hacks and sketches. ","TikTok, Instagram, YouTube",865K,103K,481K,,,,55%,45%,"13-17:45%, 18-24:35%, 25-34:10%","Germany:85%, Turkey:10%, Austria:3%"
17,Anna_mclean,@anna_mclean,Travel / DIY,Handwerk & DIY,346.9K,/vi/images/creators/anna_mclean.jpeg,,"Content creator specializing in DIY, home improvement, lifestyle projects and hacks. With over 1.1 million followers on TikTok, he shares humorous and relatable tutorials on topics like drywall installation, acoustic paneling, and custom furniture builds. His engaging approach resonates with audiences seeking practical and entertaining home project inspiration.","TikTok, Instagram, YouTube",231K,15.9K,100K,,,,40%,60%,"18-24:50%, 25-34:30%, 13-17:10%","Germany:90%, Austria:5%, Switzerland:5%"
